cole_area_ubicacion_urbano;cole_bilingue_si;cole_calendario;cole_caracter;cole_cod_depto_ubicacion;cole_genero;cole_jornada;estu_cod_depto_presentacion;estu_edad;estu_genero_m;estu_privado_libertad_si;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil_si;fami_tienecomputador_si;fami_tieneinternet_si;fami_tienelavadora_si;target
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;18.45;0;0;tres;secundaria (bachillerato) completa;primaria completa;estrato 2;3 a 4;0;1;1;1;0
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.15;0;0;tres;educación profesional completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.15;1;0;dos;postgrado;educación profesional completa;estrato 4;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;21.91;0;0;seis o mas;secundaria (bachillerato) completa;educación profesional completa;estrato 2;5 a 6;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.0;0.07164841457304416;0.5832080738672966;0.0;20.23;0;0;tres;educación profesional completa;postgrado;estrato 6;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.5222222222222223;0.8930642044234486;0.2903156538544127;0.5222222222222223;19.73;0;0;tres;postgrado;postgrado;estrato 3;5 a 6;0;1;1;0;0
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;19.91;0;0;cuatro;educación profesional completa;educación profesional completa;estrato 4;5 a 6;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.11111111111111113;0.8930642044234486;0.2903156538544127;0.11111111111111113;20.61;1;0;tres;secundaria (bachillerato) completa;secundaria (bachillerato) completa;estrato 2;3 a 4;0;1;1;0;0
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.07164841457304416;0.5832080738672966;0.06666666666666668;19.44;0;0;tres;postgrado;postgrado;estrato 6;5 a 6;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.7;1;0;tres;educación profesional completa;educación profesional completa;estrato 6;5 a 6;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.14444444444444446;0.8930642044234486;0.02311931858850476;0.14444444444444446;22.17;0;0;tres;primaria incompleta;primaria incompleta;estrato 2;7 a 8;0;0;1;1;0
1;0;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;20.82;0;0;dos;educación profesional completa;técnica o tecnológica completa;estrato 3;3 a 4;1;1;1;1;1
